dish_id,category,dish_name
1,Snack,"Butter Murukku200gm"
2,Recommended,"Badam Milk"
3,Recommended,"Chow Chow Bath"
4,Recommended,"Kesari Bath"
5,Recommended,"Mix Raitha"
6,Recommended,"Srinidhi Sagar Special"
7,Recommended,"Garlic Naan"
8,Recommended,Pista
9,"North Indian Gravy","Panneer Butter Masala"
10,"North Indian Gravy","Dal Tadka"
11,"North Indian Gravy","Kaju Masla"
12,"North Indian Gravy","Palak Panner"
13,"North Indian Gravy","Panneer Kofta"
14,"North Indian Gravy","Panneer Burji"
15,"North Indian Gravy","Panneer Shahi Kurma"
16,"North Indian Gravy","Malai Kofta"
17,"North Indian Gravy","Navarathna Kurma Sweet Dish"
18,"North Indian Gravy","Mushroom Masala"
19,"North Indian Gravy","Veg Kofta"
20,"North Indian Gravy","Dum Aloo Kashmiri Sweet Dish"
21,"North Indian Gravy","Panneer Guchi"
22,"North Indian Gravy","Stuffed Capsicum"
23,"North Indian Gravy","Stuffed Tomato"
24,"North Indian Gravy","Veg Do Pyaza"
25,"North Indian Gravy","Veg Shahi Kuma"
26,"North Indian Gravy","Mix Veg Curry"
27,"North Indian Gravy","Veg Kheema"
28,"North Indian Gravy","Veg Makkanvala"
29,"North Indian Gravy","Channa Masala"
30,"North Indian Gravy","Capsicum Masala"
31,"North Indian Gravy","Baby Corn Masala"
32,"North Indian Gravy","Panneer Mutter"
33,"North Indian Gravy","Aloo Palak"
34,"North Indian Gravy","Aloo Mutter"
35,"North Indian Gravy","Mutter Masala"
36,"North Indian Gravy","Gobi Masla"
37,"North Indian Gravy","Dal Palak"
38,"North Indian Gravy","Plain Palak"
39,"North Indian Gravy","Dal Fry"
40,"North Indian Gravy","Dal Punjabi"
41,"North Indian Gravy","Aloo Gobi Masala"
42,"North Indian Gravy","Aloo Jeera Dry"
43,"North Indian Rice","Veg Biriyani"
44,"North Indian Rice","Dal Kichdi"
45,"North Indian Rice","Mughlai Biriyani"
46,"North Indian Rice","Palak Rice"
47,"North Indian Rice","Veg Handi Biriyani"
48,"North Indian Rice","Mushroom Biriyani"
49,"North Indian Rice","Hyderabadhi Biriyani"
50,"North Indian Rice","Kashmiri Biriyani Sweet Rice"
51,"North Indian Rice","Veg Pulav"
52,"North Indian Rice","Palak Kichdi"
53,"North Indian Rice","Peas Biriyani"
54,"North Indian Rice","Peas Pulav"
55,"North Indian Rice","Basmathi Rice"
56,"Manchurian & Chilly","Panneer Manchurian"
57,"Manchurian & Chilly","Panner Pepper Dry"
58,"Manchurian & Chilly","Gobi Chilly"
59,"Manchurian & Chilly","Paneer Chilly"
60,"Manchurian & Chilly","Panner 65"
61,"Manchurian & Chilly","Veg Ball Manchurian"
62,"Manchurian & Chilly","Mushroom Pepper Dry"
63,"Manchurian & Chilly","Mushroom Manchurian"
64,"Manchurian & Chilly","Spanish Manchurian"
65,"Manchurian & Chilly","Gobi Manchoorian"
66,"Manchurian & Chilly","Baby Corn Manchurian"
67,"Manchurian & Chilly","Finger Chips"
68,"Manchurian & Chilly","Mushroom Chilly"
69,"Manchurian & Chilly","Baby Corn Pepper Dry"
70,"Manchurian & Chilly","Baby Corn Chilly"
71,"Manchurian & Chilly","Gobi 65"
72,"South Indian Dishes","Poori Sagu"
73,"South Indian Dishes",Idly
74,"South Indian Dishes","Idly Vada"
75,"South Indian Dishes",Vada
76,"South Indian Dishes","Chow Chow Bath"
77,"South Indian Dishes","Rava Idly"
78,"South Indian Dishes","Rice Bath Of The Day"
79,"South Indian Dishes","Khara Bath"
80,"South Indian Dishes","Single Idly Vada"
81,"South Indian Dishes","Kesari Bath"
82,"South Indian Dishes","Curd Rice"
83,"Chinese Rice","Veg Fried Rice"
84,"Chinese Rice","Panneer Fried Rice"
85,"Chinese Rice","Jeera Rice"
86,"Chinese Rice","Singapore Fried Rice"
87,"Chinese Rice","Ghee Rice"
88,"Chinese Rice","Mushroom Fried Rice"
89,"Chinese Rice","Shezwan Fried Rice"
90,"Chinese Rice","Veg Manchow Fried Rice"
91,"Chinese Rice","Veg Ginger Fried Rice"
92,"Tandoori Breads","Butter Roti"
93,"Tandoori Breads",Roti
94,"Tandoori Breads","Garlic Naan"
95,"Tandoori Breads",Naan
96,"Tandoori Breads","Channa Bathura"
97,"Tandoori Breads","Butter Kulcha"
98,"Tandoori Breads","Butter Naan"
99,"Tandoori Breads","Aloo Parrota"
100,"Tandoori Breads","Stuffed Kulcha"
101,"Tandoori Breads","Masala Kulcha"
102,"Tandoori Breads",Batura
103,"Tandoori Breads","Butter Parrota"
104,"Tandoori Breads",Parota
105,"Tandoori Breads",Kulcha
106,"Tandoori Breads","Kasmiri Naan Sweet Bread"
107,"Special Ice Cream","My Darling"
108,"Special Ice Cream","My Dream"
109,"Special Ice Cream","Tutty Fruity Special"
110,"Special Ice Cream",Gudbud
111,"Special Ice Cream","Wedding Day Special"
112,"Special Ice Cream","Honeymoon Special"
113,"Special Ice Cream","Choclate Nuts Sundae"
114,"Special Ice Cream","Vannila Nuts Sundae"
115,"Special Ice Cream","Double Sundae"
116,"Special Ice Cream","Triple Sundae"
117,"Special Ice Cream","Srinidhi Sagar Special"
118,"Fresh Fruit Juice",Watermelon
119,"Fresh Fruit Juice","Sweet Lassi"
120,"Fresh Fruit Juice","Special Lassi"
121,"Fresh Fruit Juice","Musambi Juice"
122,"Fresh Fruit Juice",Mango
123,"Fresh Fruit Juice",CockTail
124,"Fresh Fruit Juice",Muskmelon
125,"Fresh Fruit Juice",Grape
126,"Fresh Fruit Juice",Apple
127,"Fresh Fruit Juice",Pineapple
128,"Fresh Fruit Juice","Kara Lassi"
129,"Fresh Fruit Juice","Fresh Lime Soda"
130,"Fresh Fruit Juice","Butter Milk"
131,"Fresh Fruit Juice","Fresh Lime Juice"
132,"Fresh Fruit Juice","Ganga Jamuna"
133,"Fresh Fruit Juice",Tomato
134,"Flavoured Milkshakes","Dry Fruit Badam Milkshake"
135,"Flavoured Milkshakes","Dry Fruit Pista Milkshake"
136,"Flavoured Milkshakes","Dry Fruit Milkshake"
137,"Flavoured Milkshakes",Pista
138,"Flavoured Milkshakes","Choclate Milkshake With Nuts"
139,"Flavoured Milkshakes",Chocolate
