order_id,date_id,location_id,restaurant_id,food_id,price,rating,rating_count
1,1,1,1,1,133.9,4,0
2,2,2,2,2,52,4.5,25
3,3,2,2,3,117,4.7,48
4,4,2,2,4,65,4.6,65
5,5,2,2,5,130,4,0
6,6,2,2,6,312,4,0
7,7,2,2,7,98,4,34
8,8,2,2,8,137,4,0
9,9,2,2,9,241,4.4,29
10,10,2,2,10,195,4.9,51
11,11,2,2,11,312,4,0
12,12,2,2,12,234,4,0
13,13,2,2,13,286,4,0
14,14,2,2,14,312,4,0
15,15,2,2,15,286,4.8,4
16,16,2,2,16,260,4.5,26
17,17,2,2,17,299,4,0
18,18,2,2,18,247,4.2,24
19,19,2,2,19,260,3.7,16
20,20,2,2,20,286,4,0
21,21,2,2,21,260,4,0
22,22,2,2,22,260,4,0
23,14,2,2,23,260,4,0
24,23,2,2,24,260,4.2,9
25,24,2,2,25,260,4,0
26,25,2,2,26,234,3.8,20
27,26,2,2,27,247,4,0
28,27,2,2,28,247,4,0
29,28,2,2,29,195,4.7,1
30,7,2,2,30,221,4.9,19
31,29,2,2,31,221,4,0
32,30,2,2,32,221,4,0
33,31,2,2,33,221,4,0
34,32,2,2,34,195,4,0
35,23,2,2,35,208,4,0
36,33,2,2,36,195,4,0
37,34,2,2,37,195,2,9
38,35,2,2,38,195,4,0
39,36,2,2,39,182,4.3,68
40,37,2,2,40,195,3.2,16
41,38,2,2,41,195,4,19
42,28,2,2,42,169,4,0
43,39,2,2,43,195,4.2,22
44,3,2,2,44,221,4.6,18
45,40,2,2,45,247,4.7,9
46,40,2,2,46,221,4.9,27
47,41,2,2,47,247,4,0
48,40,2,2,48,247,4.9,6
49,42,2,2,49,247,4.7,3
50,43,2,2,50,260,4,0
51,44,2,2,51,195,4.2,2
52,45,2,2,52,221,4,0
53,19,2,2,53,208,4,0
54,46,2,2,54,195,4,0
55,42,2,2,55,130,4,0
56,47,2,2,56,247,4,0
57,7,2,2,57,260,5,3
58,48,2,2,58,195,3.6,5
59,49,2,2,59,260,4.4,4
60,50,2,2,60,260,4,0
61,51,2,2,61,247,4.7,17
62,33,2,2,62,228,2.6,45
63,52,2,2,63,208,4.1,49
64,53,2,2,64,247,4,0
65,54,2,2,65,182,4.3,4
66,55,2,2,66,202,4.4,92
67,56,2,2,67,156,4.3,53
68,21,2,2,68,221,4,0
69,26,2,2,69,208,4.4,61
70,57,2,2,70,208,4.1,2
71,58,2,2,71,195,3.6,43
72,59,2,2,72,104,4.5,226
73,28,2,2,73,65,4.5,69
74,60,2,2,74,117,4.7,57
75,61,2,2,75,59,4.3,282
76,62,2,2,76,117,4.7,48
77,41,2,2,77,78,4.2,16
78,63,2,2,78,85,4.6,109
79,64,2,2,79,65,4.8,43
80,65,2,2,80,91,4.8,12
81,66,2,2,81,65,4.6,65
82,67,2,2,82,91,4.6,213
83,17,2,2,83,195,4.5,194
84,51,2,2,84,221,3,4
85,22,2,2,85,182,4.8,94
86,68,2,2,86,221,4,0
87,69,2,2,87,182,4.9,39
88,70,2,2,88,208,4.8,45
89,71,2,2,89,208,4,0
90,69,2,2,90,208,4,0
91,72,2,2,91,208,4,0
92,73,2,2,92,59,4.4,141
93,74,2,2,93,52,4.4,266
94,75,2,2,94,98,4,34
95,76,2,2,95,72,5,3
96,77,2,2,96,169,4,0
97,78,2,2,97,72,4.4,126
98,40,2,2,98,91,4.1,158
99,79,2,2,99,104,4,0
100,53,2,2,100,104,4.4,19
101,80,2,2,101,104,4,0
102,81,2,2,102,104,4,0
103,3,2,2,103,91,4,0
104,82,2,2,104,78,4,0
105,64,2,2,105,59,3.9,52
106,11,2,2,106,130,4,0
107,40,2,2,107,195,4,0
108,83,2,2,108,195,4,0
109,84,2,2,109,176,4,0
110,39,2,2,110,169,4,0
111,85,2,2,111,169,4,0
112,86,2,2,112,169,5,3
113,59,2,2,113,169,4,0
114,21,2,2,114,169,4,0
115,87,2,2,115,169,4,0
116,88,2,2,116,169,4,0
117,89,2,2,117,247,4,0
118,28,2,2,118,98,4,9
119,90,2,2,119,98,4.7,13
120,85,2,2,120,117,5,7
121,91,2,2,121,104,5,5
122,92,2,2,122,111,4,0
123,3,2,2,123,111,4,0
124,93,2,2,124,104,4,0
125,94,2,2,125,98,4,0
126,33,2,2,126,111,4,0
127,95,2,2,127,104,4,0
128,55,2,2,128,98,4,0
129,96,2,2,129,91,4.5,18
130,97,2,2,130,62,4.4,20
131,23,2,2,131,72,3.1,13
132,98,2,2,132,111,4,0
133,99,2,2,133,91,4,0
134,96,2,2,134,163,4,0
135,100,2,2,135,163,4,0
136,101,2,2,136,163,4,0
137,96,2,2,137,137,4,0
138,98,2,2,138,137,4,0
139,102,2,2,139,124,4,0
140,102,2,2,140,124,4,0
141,103,2,2,141,117,4,0
142,104,2,2,142,111,4.5,8
143,105,2,2,143,111,4.2,6
144,106,2,2,144,104,4.7,10
145,107,2,2,145,163,4,0
146,91,2,2,146,52,4,0
147,108,2,2,147,208,4.7,82
148,47,2,2,148,234,4,0
149,109,2,2,149,221,4,0
150,96,2,2,150,221,4,0
151,110,2,2,151,221,4.2,23
152,77,2,2,152,260,4.8,59
153,103,2,2,153,286,4,0
154,81,2,2,154,286,4,0
155,111,2,2,155,260,4,0
156,96,2,2,156,260,4,0
157,99,2,2,157,299,4,0
158,112,2,2,158,260,4,0
159,113,2,2,159,260,5,3
160,61,2,2,160,260,4,0
161,17,2,2,161,260,4,0
162,114,2,2,162,260,4,0
163,35,2,2,163,260,4,0
164,63,2,2,164,299,4,0
165,115,2,2,165,312,4,0
166,116,2,2,166,190,4.4,246
167,117,2,2,167,260,4.8,10
168,41,2,2,168,130,1.9,19
169,64,2,2,169,124,4.9,48
170,19,2,2,170,124,4,0
171,118,2,2,171,130,4,0
172,105,2,2,172,130,4,0
173,75,2,2,173,130,4,0
174,119,2,2,174,124,4,0
175,8,2,2,175,98,4,0
176,120,2,2,176,91,4,0
177,121,2,2,177,98,4,0
178,122,2,2,178,98,4,0
179,3,2,2,179,98,4,0
180,96,2,2,180,98,4,0
181,123,2,2,181,91,5,3
182,90,2,2,182,91,4,0
183,124,2,2,183,91,4,0
184,125,2,2,184,117,4.7,3
185,96,2,2,185,117,4,0
186,126,2,2,186,117,4,0
187,107,2,2,187,117,4,0
188,127,2,2,188,117,4,0
189,128,2,2,189,117,4,0
190,126,2,2,190,117,4,0
191,51,2,2,191,130,4,0
192,129,2,2,192,130,4,0
193,46,2,2,193,130,4,0
194,111,2,2,194,117,4,0
195,107,2,2,195,130,4,0
196,85,2,2,196,91,4.8,36
197,130,2,2,197,104,4,0
198,131,2,2,198,91,4,0
199,132,2,2,199,39,3.1,24
200,133,2,2,200,49,4.8,71
201,134,2,2,201,49,4.6,99
202,135,2,2,202,52,4.5,25
203,96,2,2,203,52,4.4,37
204,136,2,2,204,117,4,0
205,101,2,2,205,117,4,0
206,96,2,2,206,117,4,0
207,108,2,2,207,156,4.7,33
208,96,2,2,208,156,4.5,34
209,37,2,2,209,130,5,20
210,93,2,2,210,130,4.5,68
211,96,2,2,211,143,3,16
212,137,2,2,212,130,4.7,54
213,68,2,2,213,124,4.3,4
214,108,2,2,214,143,3.8,18
215,108,2,2,215,104,4.3,446
216,43,2,2,216,124,3,21
217,76,2,2,217,124,4,7
218,96,2,2,218,104,4.5,251
219,138,2,2,219,124,2.5,14
220,40,2,2,220,130,4,0
221,96,2,2,221,91,4.6,75
222,139,2,2,222,85,4.5,145
223,58,2,2,223,85,4.6,21
224,89,2,2,224,78,4.9,5
225,107,2,2,225,78,4,45
226,40,2,2,226,72,4.6,52
227,140,2,2,227,85,4,0
228,97,2,2,228,72,3.8,41
229,141,2,2,229,78,2.2,9
230,120,2,2,230,78,4,0
231,40,2,2,231,78,4,0
232,141,2,2,232,81,3.3,21
233,142,2,2,233,78,4,0
234,124,2,2,234,72,4,0
235,143,2,2,235,35,4.2,23
236,144,1,3,236,169,4.5,19
237,8,1,3,237,315,4.1,1
238,145,1,3,238,130,4.9,6
239,82,1,3,239,180,4,0
240,146,1,3,240,35,5,3
241,121,1,3,241,47,3.8,3
242,96,1,3,242,270,4.4,19
243,147,1,3,243,299,4.4,2
244,140,1,3,244,195,4,0
245,42,1,3,245,260,4.4,12
246,106,1,3,246,260,4,0
247,61,1,3,247,375,4,0
248,18,1,3,248,315,3.9,1
249,122,1,3,249,245,4.7,15
250,36,1,4,250,120,4.2,177
251,148,1,4,251,299,4.4,54
252,135,1,4,252,170,4.2,102
253,126,1,4,253,190,4.6,34
254,99,1,4,254,190,4.1,67
255,143,1,4,255,35,4.4,26
256,1,1,4,256,290,4.2,19
257,149,1,4,257,290,4.5,7
258,96,1,4,258,20,4.1,44
259,127,1,4,259,230,3.8,7
260,150,1,4,260,180,4.3,127
261,128,1,4,261,120,4.2,177
262,110,1,4,262,180,4.3,30
263,151,1,4,263,299,4.4,54
264,26,1,4,264,140,3.2,8
265,19,1,4,265,170,4.2,102
266,149,1,4,266,190,4.6,34
267,117,1,4,267,190,4.1,67
268,149,1,4,268,190,4.2,11
269,152,1,4,269,190,3.3,16
270,96,1,4,270,180,4.2,8
271,136,1,4,271,35,4.4,26
272,149,1,4,272,200,4.4,7
273,22,1,4,273,190,4,0
274,26,1,4,274,290,4.2,19
275,38,1,4,275,290,4.8,3
276,69,1,4,276,290,4.5,7
277,96,1,4,277,290,3.8,5
278,46,1,4,278,300,4.9,4
279,153,1,4,279,300,4,0
280,140,1,4,280,200,3.5,4
281,97,1,4,281,220,4,0
282,154,1,4,282,190,4,0
283,155,1,4,283,20,4.1,44
284,26,1,4,284,100,3.6,13
285,21,1,4,285,120,4.7,3
286,61,1,4,286,230,3.8,7
287,75,1,4,287,150,2.4,4
288,135,1,4,288,80,3.3,14
289,145,1,4,289,60,4,0
290,135,1,4,290,70,4.7,6
291,96,1,5,291,45,4,0
292,156,1,5,292,45,4,0
293,13,1,5,293,65,4,0
294,152,1,5,294,70,4,0
295,104,1,5,295,100,4,0
296,157,1,5,296,45,4,0
297,25,1,5,297,55,4,0
298,87,1,5,298,22,4,0
299,96,1,5,299,85,4,0
300,142,1,5,300,130,4,0
301,158,1,6,301,440,4,0
302,145,1,6,302,110,3.8,6
303,114,1,6,303,90,4,0
304,100,1,6,304,160,5,5
305,159,1,6,305,90,3.7,6
306,160,1,6,306,239,4,0
307,161,1,6,307,249,4,0
308,109,1,6,308,239,4,0
309,90,1,6,309,440,4,0
310,136,1,6,310,239,4,0
311,96,1,6,311,440,4,0
312,39,1,6,312,440,4,0
313,2,1,6,313,440,4,0
314,144,1,6,314,239,4,0
315,162,1,6,315,239,4,0
316,136,1,6,316,239,4,0
317,66,1,6,317,239,3.8,3
318,154,1,6,318,239,4,0
319,96,1,6,319,239,4,0
320,163,1,6,320,239,4,0
321,154,1,6,321,239,4,3
322,162,1,6,322,239,4,0
323,126,1,6,323,239,4,0
324,60,1,6,324,239,4,0
325,128,1,6,325,239,4,0
326,143,1,6,326,239,4,0
327,29,1,6,327,239,4,0
328,164,1,6,328,239,4,0
329,139,1,6,329,239,4,0
330,151,1,6,330,440,4,0
331,96,1,6,331,440,4,0
332,17,1,6,332,239,4,0
333,97,1,6,333,450,4,0
334,165,1,6,334,440,4,0
335,38,1,6,335,440,4,0
336,137,1,6,336,159,4,0
337,89,1,6,337,159,4,0
338,166,1,6,338,90,4,0
339,111,1,6,339,159,3.9,4
340,167,1,6,340,149,4.4,6
341,129,1,6,341,159,3.2,6
342,123,1,6,342,159,4,0
343,113,1,6,343,169,4,0
344,168,1,6,344,160,5,5
345,160,1,6,345,169,4,0
346,96,1,6,346,169,4,0
347,169,1,6,347,159,2.3,3
348,96,1,6,348,170,2.7,12
349,149,1,6,349,149,3.8,6
350,22,1,6,350,90,3.7,6
351,97,1,6,351,260,5,3
352,81,1,6,352,110,3.8,6
353,170,1,6,353,239,4,0
354,171,1,6,354,239,4,0
355,112,1,6,355,239,4,0
356,135,1,6,356,169,4.5,3
357,55,1,6,357,169,4,0
358,143,1,6,358,235,3.2,3
359,113,1,6,359,149,4,0
360,154,1,6,360,169,4,0
361,81,1,6,361,189,4,0
362,39,1,6,362,179,4,0
363,19,1,6,363,179,4,0
364,162,1,6,364,159,4,0
365,18,1,6,365,159,4,0
366,69,1,6,366,25,4.2,7
367,172,1,6,367,45,5,5
368,29,1,6,368,55,4,0
369,18,1,6,369,30,4.4,4
370,142,1,6,370,50,5,3
371,96,1,6,371,40,3.8,3
372,149,1,6,372,50,4,0
373,82,1,6,373,45,4.7,4
374,66,1,6,374,189,4.5,8
375,173,1,6,375,189,4,0
376,17,1,6,376,189,4,0
377,96,1,6,377,189,4,0
378,116,1,6,378,189,4,0
379,169,1,6,379,189,4,0
380,89,1,6,380,189,4,0
381,113,1,6,381,189,4,0
382,174,1,6,382,189,4,0
383,2,1,6,383,189,4,0
384,74,1,6,384,189,4,0
385,139,1,6,385,189,4,0
386,175,1,6,386,189,4,0
387,96,1,6,387,260,4,0
388,176,1,6,388,90,4,0
389,69,1,6,389,90,4,0
390,102,1,6,390,25,4,0
391,39,1,6,391,170,4,0
392,6,1,6,169,150,4,0
393,177,1,6,392,150,4,0
394,79,1,6,393,90,4,0
395,29,1,6,394,90,4,0
396,96,1,6,395,90,4,0
397,103,3,7,396,199,3.3,4
398,119,3,7,397,199,4,0
399,7,3,7,398,199,4,0
400,81,3,7,399,270,4,0
401,162,3,7,400,245,4,0
402,139,3,7,401,220,4,0
403,98,3,7,402,290,4,0
404,47,3,7,403,220,4,0
405,163,3,7,404,240,4,0
406,157,3,7,405,20,4,0
407,139,3,7,406,50,4,0
408,103,3,7,407,15,4,0
409,178,3,7,408,15,4,0
410,30,3,7,409,110,4,0
411,136,3,7,410,110,4,0
412,179,3,7,411,110,4,0
413,114,3,7,412,99,4,0
414,180,3,7,413,90,4,0
415,32,3,7,414,160,4,0
416,181,3,7,415,160,4,0
417,24,3,7,416,170,4,0
418,25,3,7,417,195,4,0
419,182,3,7,418,205,4,0
420,183,3,7,419,110,4,0
421,42,3,7,420,99,4,0
422,184,3,7,421,35,4,0
423,62,3,7,422,110,4,0
424,120,4,8,423,245,4,0
425,120,4,8,424,95,4,0
426,185,4,8,425,85,4,0
427,7,4,8,426,95,4,0
428,138,4,8,427,50,4,0
429,161,4,8,428,70,4,0
430,108,4,8,429,30,4,0
431,59,4,8,430,45,4,0
432,27,4,8,431,85,4,0
433,140,4,8,432,45,4,0
434,171,4,8,433,50,4,0
435,96,4,8,434,35,4,0
436,81,4,8,435,50,4,0
437,154,4,8,436,65,4,0
438,71,4,8,437,160,4,0
439,63,4,8,438,85,4,0
440,27,4,8,439,85,4,0
441,34,4,8,440,85,4,0
442,186,4,8,441,50,4,0
443,61,4,8,442,50,4,0
444,38,4,8,443,50,4,0
445,24,4,8,444,50,4,0
446,72,4,8,445,80,4,0
447,187,4,8,446,70,4,0
448,15,4,8,447,60,4,0
449,188,4,8,448,65,4,0
450,113,4,8,449,245,4,0
451,90,4,8,450,245,4,0
452,143,4,8,451,95,4,0
453,112,4,8,452,95,4,0
454,87,4,8,453,95,4,0
455,2,4,8,454,95,4,0
456,127,4,8,455,95,4,0
457,187,4,8,456,95,4,0
458,189,4,8,457,65,4,0
459,80,4,8,458,65,4,0
460,113,4,8,459,245,4,0
461,28,4,8,460,65,4,0
462,140,4,8,461,65,4,0
463,142,4,8,462,245,4,0
464,73,4,8,463,95,4,0
465,84,4,8,464,65,4,0
466,135,4,8,465,65,4,0
467,11,4,8,466,95,4,0
468,29,4,8,467,65,4,0
469,96,4,8,468,95,4,0
470,139,4,8,469,95,4,0
471,50,4,8,470,245,4,0
472,190,4,8,471,245,4,0
473,106,4,8,472,245,4,0
474,191,4,8,473,245,4,0
475,69,4,8,474,245,4,0
476,31,4,8,475,95,4,0
477,96,4,8,476,95,4,0
478,17,4,8,477,85,4,0
479,192,4,8,478,95,4,0
480,87,4,8,479,95,4,0
481,193,4,8,480,65,4,0
482,194,4,8,481,65,4,0
483,41,4,8,482,65,4,0
484,96,4,8,483,65,4,0
485,111,4,8,484,65,4,0
486,176,4,8,485,245,4,0
487,195,4,8,486,245,4,0
488,146,4,8,487,95,4,0
489,106,4,8,488,30,4,0
490,26,4,8,489,110,4,0
491,75,4,8,490,100,4,0
492,186,4,8,491,60,4,0
493,17,4,8,492,110,4,0
494,29,4,8,493,60,4,0
495,121,4,8,494,55,4,0
496,196,4,8,495,75,4,0
497,178,4,8,496,95,4,0
498,151,4,8,497,95,4,0
499,72,4,8,498,75,4,0
500,37,4,8,499,75,4,0
501,197,4,8,500,95,4,0
502,113,4,8,501,95,4,0
503,67,4,8,502,85,4,0
504,174,4,8,503,55,4,0
505,18,4,8,504,55,4,0
506,134,4,8,505,85,4,0
507,96,4,8,506,200,4,0
508,47,5,9,507,379,4.2,16
509,198,5,9,508,189,4.3,1
510,133,5,9,509,359,3.7,4
511,199,5,9,510,189,4.4,2
512,200,5,9,511,359,4.7,4
513,96,5,9,512,209,4,19
514,62,5,9,513,379,4.6,10
515,181,5,9,514,209,4.4,7
516,160,5,9,515,379,3.9,4
517,119,5,9,516,307,4,1
518,30,5,9,517,337,4.3,5
519,179,5,9,518,319,3.3,10
520,11,5,9,519,319,4.9,12
521,130,5,9,520,269,4,0
522,58,5,9,521,269,4,0
523,158,5,9,522,269,4,0
524,96,5,9,523,269,4.2,105
525,194,5,9,524,309,4,0
526,11,5,9,525,309,4.6,80
527,73,5,9,526,309,4,0
528,96,5,9,527,425,4,0
529,42,5,9,528,425,4,0
530,174,5,9,529,455,4.1,2
531,150,5,9,530,59,4.3,45
532,96,5,9,531,59,4.5,25
533,40,5,9,532,59,4.7,16
534,201,5,9,533,99,4.6,17
535,20,5,9,534,57,4.2,43
536,31,5,9,535,57,4.1,10
537,31,5,9,536,118.75,4,0
538,96,5,9,537,118.75,4.9,5
539,34,5,9,538,99,4.3,1
540,1,5,9,539,99,4,0
541,37,5,9,540,99,4.2,2
542,96,5,9,541,99,4,0
543,3,5,9,542,28.5,4.2,2
544,69,5,9,543,20,4.2,9
545,202,5,9,544,20,2.7,4
546,28,5,9,545,20,4.2,2
547,117,5,9,546,20,4.1,1
548,140,5,9,547,20,4.2,2
549,62,6,10,548,169,3.8,63
550,21,6,10,549,259,4,58
551,96,6,10,550,319,4.3,69
552,23,6,10,551,319,3.9,22
553,43,6,10,552,379,4.3,79
554,105,6,10,553,259,4.7,15
555,8,6,10,554,379,4.7,7
556,203,6,10,555,409,3.9,8
557,188,6,10,556,409,4.8,12
558,183,6,10,557,109,4.4,199
559,153,6,10,558,169,4.5,16
560,142,6,10,559,189,4.5,39
561,204,6,10,560,159,4.4,3
562,96,6,10,561,179,4.1,10
563,113,6,10,562,199,4.4,3
564,44,6,10,563,749,4.6,7
565,164,6,10,564,199,3.9,2
566,128,6,10,565,179,4.2,13
567,160,6,10,566,109,3.7,13
568,134,6,10,567,209,3.2,11
569,193,6,10,568,219,3.6,16
570,90,6,10,569,319,3.6,28
571,70,6,10,570,319,3,5
572,24,6,10,571,379,5,5
573,154,6,10,572,379,3.9,4
574,157,6,10,573,169,3.8,63
575,172,6,10,574,219,4.2,37
576,96,6,10,575,259,4,58
577,205,6,10,576,259,4.2,18
578,58,6,10,577,319,4.3,69
579,31,6,10,578,319,3.9,22
580,156,6,10,579,379,4.3,79
581,96,6,10,580,169,4.3,213
582,46,6,10,581,289,4.4,1
583,75,6,10,582,319,1.9,4
584,15,6,10,583,319,5,5
585,96,6,10,584,409,3.9,1
586,206,6,10,585,259,4.7,15
587,195,6,10,586,379,4.7,7
588,121,6,10,587,379,4.8,10
589,170,6,10,588,379,4.3,26
590,97,6,10,589,409,3.9,8
591,31,6,10,590,409,2.9,8
592,9,6,10,591,409,4.8,12
593,118,6,10,592,749,4.6,7
594,207,6,10,593,749,5,6
595,208,6,10,594,749,3.8,1
596,126,6,10,595,749,4.3,0
597,155,6,10,596,849,4.3,0
598,148,6,10,597,949,3.7,1
599,81,6,10,598,149,4.2,1
600,96,6,10,599,149,3.9,3
601,209,6,10,600,169,4.3,0
602,85,6,10,601,129,4.3,0
603,15,6,10,602,129,4.3,0
604,97,6,10,603,109,3.9,1
605,210,6,10,604,109,4.3,0
606,6,6,10,605,109,4.3,0
607,107,6,10,606,99,4.3,0
608,27,6,10,607,99,4.3,0
609,73,6,10,608,99,4.3,0
610,96,6,10,609,199,3.9,2
611,32,6,10,610,209,4.2,10
612,2,6,10,611,189,3.1,4
613,163,6,10,612,209,3.9,1
614,96,6,10,613,179,4.2,13
615,88,6,10,614,169,4.6,21
616,160,6,10,615,189,3.2,3
617,125,6,10,616,169,3.7,10
618,46,6,10,617,209,4.1,17
619,96,6,10,618,229,2.3,3
620,137,6,10,619,649,4.6,4
621,132,6,10,620,749,3.6,7
622,64,6,10,621,159,4.3,165
623,38,6,10,622,159,4.1,32
624,96,6,10,623,119,4.1,78
625,96,6,10,624,169,4.4,58
626,127,6,10,625,169,3.8,118
627,204,6,10,626,189,4.8,11
628,181,6,10,627,109,3.9,20
629,40,6,10,628,269,5,3
630,171,6,10,629,219,4.2,1
631,30,6,10,630,109,3.7,13
632,160,6,10,631,209,3.2,11
