order_id,product_id,quantity,unit_price,discount_percentage,discount_amount,gross_sales,tax_amount,shipping_cost,net_sales,product_cost,profit
ORD-301242,PROD-000738,2,244.4,0.3396072909141047,166.0,488.8,22.6,6.48,351.88,173.28,172.12
ORD-773460,PROD-000973,4,754.8,0.4682995743617819,1413.89,3019.2,305.01,9.0,1919.32,1976.16,-65.84
ORD-449374,PROD-001040,3,6.31,0.0896780413797078,1.7,18.93,1.21,0.98,19.42,5.91,12.53
ORD-567636,PROD-000639,1,280.19,0.0167798915544185,4.7,280.19,19.28,6.37,301.14,172.77,122.0
ORD-820028,PROD-000106,4,587.18,0.0511532946163107,120.14,2348.72,401.14,9.52,2639.24,1179.6,1450.12
ORD-208728,PROD-000964,1,844.03,0.0783974760049449,66.17,844.03,101.12,28.09,907.07,421.73,457.25
ORD-686230,PROD-000738,1,244.4,0.1663358665830805,40.65,244.4,14.26,15.44,233.45,86.64,131.37
ORD-480470,PROD-000035,1,608.66,0.198693737086759,120.94,608.66,34.14,0.31,522.17,366.24,155.62
ORD-417329,PROD-000339,2,286.65,0.0552686937033436,31.69,573.3,70.41,28.32,640.34,333.26,278.76
ORD-961581,PROD-001008,1,461.13,0.1304517144791155,60.16,461.13,28.07,6.1,435.14,279.28,149.76
ORD-560607,PROD-000462,1,147.61,0.0602598284759227,8.89,147.61,26.36,11.99,177.07,80.75,84.33
ORD-145098,PROD-000492,1,38.29,0.1859804425970682,7.12,38.29,2.18,6.07,39.42,13.99,19.36
ORD-163733,PROD-001077,3,15.01,0.1827660016766545,8.23,45.03,7.36,19.8,63.96,13.77,30.39
ORD-825133,PROD-000899,1,337.77,0.1791806431423288,60.52,337.77,19.41,0.7000000000000002,297.36,153.93,142.73
ORD-475363,PROD-001148,1,163.03,0.0,0.0,163.03,30.98,9.63,203.64,57.53,136.48
ORD-968844,PROD-000708,2,313.02,0.0493915444653297,30.92,626.04,119.02,17.34,731.48,432.06,282.08
ORD-810046,PROD-000944,1,24.77,0.1118400465374123,2.77,24.77,1.54,11.91,35.45,11.0,12.54
ORD-498913,PROD-000592,4,191.74,0.1176493071853021,90.23,766.96,67.67,19.3,763.7,380.96,363.44
ORD-652783,PROD-000211,3,219.74,0.4584149022148836,302.2,659.22,24.99,3.14,385.15,374.82,7.19
ORD-537228,PROD-000711,1,114.1,0.009943669074509,1.13,114.1,21.46,9.7,144.13,46.07,88.36
ORD-491026,PROD-000080,2,117.02,0.032231569665502,7.54,234.04,15.86,15.31,257.67,131.38,110.98
ORD-114657,PROD-000273,1,92.78,0.1443938007219764,13.4,92.78,5.56,23.99,108.93,37.09,47.85
ORD-137773,PROD-000373,5,50.22,0.2434947707463455,61.14,251.1,37.99,2.51,230.46,142.95,85.0
